SYSTEM_SWITCH_CHANNEL	Hýzlý Kanal
SHOP_CHEQUE_QUEST	%s almak istediðinize emin misiniz? Pazar adý: %s
GAME_PICK_CHEQUE	%s Won aldýn.
DROP_CHEQUE_FAILURE_1000_OVER	En fazla 999 Won býrakabilirsin.
DO_YOU_DROP_CHEQUE	%d Won býrakmak istiyor musun?
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_ONLY_VALUE	Yalnýzca bir deðer girebilirsiniz.
CHEQUE_NO_ADD_SALE_PRICE	En az bir satýþ fiyatý girmelisiniz. Fiyat koymak istemiyorsanýz "0" girin.
CHEQUE_SYSTEM_SELL_PRICE	[Satýþ Fiyatý]
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_SYSTEM_WON	%s Won
DO_YOU_SELL_ITEM1	Satmak istiyor musun? Nesne: %s Fiyat: %s
DO_YOU_SELL_ITEM2	Satmak istiyor musun? Adet: %s  Eþya: %s  Fiyat: %s
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Won düþüremezsin.
CHEQUE_SYSTEM_UNIT_CHEQUE	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_CHEQUE	%s Won
SHOP_NOT_ENOUGH_CHEQUE	Yeterli Won'a sahip deðilsin.
SHOP_NOT_ENOUGH_MONEY_CHEQUE	Yeterli Yang veya Won yok
DO_YOU_BUY_ITEM1_CHEQUE	%s Won ve %s Yang satýn almak istiyor musunuz?
DO_YOU_BUY_ITEM2_CHEQUE	%s Won ve %s Yang satýn almak istiyor musunuz?
DO_YOU_DROP_CHEQUE	%d Won býrakmak istiyor musun?
DO_YOU_BUY_ITEM1_CHEQUE1	Satýn almak istiyor musun? Nesne: %s Fiyat: %s
DO_YOU_BUY_ITEM2_CHEQUE1	Satýn almak istiyor musun? Nesne: %s Adet: %s Fiyat: %s
TASKBAR_MONEY_EXPAND	Money
BIYOLOG_TITLE	Biyolog Görevi
BIYOLOG_STATE	Verilebilir
BIYOLOG_BONUSES	Bonuslar
BIYOLOG_BUTTON_01	Ver
BIYOLOG_BUTTON_02	Toplu Ver
BIYOLOG_BUTTON_03	Ruh Taþý Ver
BIYOLOG_BUTTON_04	Görevi Bitir
SHOP_SEARCH_TITLE	Ýtem Arama
SHOP_SEARCH_CLEAR	Buldum !
SHOP_SEARCH_BUTTON	Arama
SHOP_SEARCH_PRICE	Fiyatý:
SHOP_SEARCH_ENTER_ITEM_NAME	Ýtem Adýný Giriniz:
SHOP_SEARCH_EMPTY_ITEM_NAME	Böyle bir öðe mevcut deðil!
OPTION_SALESTEXT_RANGE	Market ismi menzili
SHOP_NAME	Market ismi
SHOP_TIMEOUT	Market sona eriþ süresi
SHOP_CREATE	Market oluþtur
SHOP_CREATE_PRICE	Ücret: 
SHOP_CREATE_HOURS	saat
SHOP_CREATE_HOUR	saat
SHOP_CREATE_DAY	gün
SHOP_CREATE_DAYS	gün
SHOP_CREATE_NORMAL	Normal market
SHOP_NAME_EMPTY	Lütfen market ismi girin
SHOP_TIMEOUT_EMPTY	Lütfen marketin süresini seçiniz.
SHOP_WINDOW_NAME	Marketleriniz
SHOP_WINDOW_CREATE	Market Oluþturma
SHOP_GET_YANG	Parayý al
SHOP_CHANGE_NAME	Ýsim deðiþtir
SHOP_ENTER_NEW_NAME	Yeni bir isim gir
SHOP_CLOSE	Marketi kapat
SHOP_CLOSE_QUEST	"%s" isimli marketi kapatmak istiyor musun?
SHOP_MANAGE	Yönet
SHOP_OPEN	Market oluþtur
SHOP_EDIT	Düzenle
SHOP_REMOVE_ITEM	Sil
SHOP_CHANGE_PRICE	Ücreti deðiþtir
SHOP_EDIT_SHOP_WINDOW	Market düzenleme
SHOP_EDIT_SHOP_CANCEL	Düzenlemeyi iptal et
SHOP_REMOVE_ITEM_QUEST	Bu eþyayý silmek istediðine emin misin?
SHOP_SELECT	Seç
SHOP_REMOVE_ITEM_QUEST:Bu eþyayý silmek istediðine emin misin?
SHOP_NOT_EARNED_YANG	Marketin para kazanmadý!
SHOP_YANG_QUEST	%s kadar yangý "%s" marketinden almak istiyor musun?
SHOP_INFORMATION	Market hakkýnda bilgi
SHOP_EARNED_YANG	Kazanýlan para: 
SHOP_SOLD_ITEMS	Satýlan itemler: 
SHOP_REST_ITEMS	Kalan itemler: 
SHOP_TIME_TO_CLOSE	Marketin sona eriþ süresi: 
GIFT_WINDOW_NAME	OfflineShop Satýlamayanlar
GIFT_PREV_PAGE	Önceki sayfa
GIFT_NEXT_PAGE	Sonraki sayfa
GIFT_FROM	Siverp2
GIFT_REASON	Sebep
GIFT_GET_ALL	Hepsini al
GIFT_GET_QUEST	"%s"i almak istediðine emin misin?
GIFT_GET_QUEST_ALL	Bütün itemlerini almak istediðine emin misin?
GIFT_MONEY_DESC	Offline marketten kazandýðýn para.
SHOP_SELECT_TIME    Seç
ACCEPT	Tamam
ACCE_ABSORB	Bonus Emiþi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuþak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuþak 2
ATTACH_METIN_INFO	Zihin taþýný eklemek istiyor musun?
ATTACH_METIN_TITLE	Zihin taþýný ekle
ATTENDANCE_TITLE	Patron Avcýsý Etkinliði
AUTO_AUTO_ATTACK	Saldýr
AUTO_AUTO_POSITION	Ýksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Boþalt
AUTO_END	Dur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_POSITION_SETTING	Ýksirler
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Baþla
AUTO_TITLE	Otomatik Av
BANNER_ATTENDANCE_BUTTON	Patron Avcýsý Etkinliði
BANNER_MONSTERBACK_BUTTON	Hayat puaný kullan
BANNER_OKEY_BUTTON	Okey Etkinliði
BATTLE_FIELD_INFO	Savaþ Bölgesi
BATTLE_FIELD_OPERATION_TIME	Savaþ Bölgesi'ne giriþ %s.00 - %s.00 arasý mümkün.
BATTLE_FIELD_OPERATION_TIME_ALL	Giriþ her zaman mümkün.
BATTLE_FIELD_OPERATION_TIME_END	Savaþ Bölgesi %s sa. daha açýk.
BATTLE_FIELD_OPERATION_TIME_NA	Giriþ þu anda mümkün deðil.
BATTLE_FIELD_OPERATION_TIME_OPEN	%s saat içinde %s saat boyunca giriþ yapýlabilir
BATTLE_FILED_RANK	Rütbe
BATTLE_FILED_RANK_EMPIRE	Krallýk
BATTLE_FILED_RANK_NAME	Ýsim
BATTLE_FILED_RANK_POINT	Puan
CANCEL	Vazgeç
CHANGE_PASSWORD_CONFIRM	Yeni þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHAT_FILTER	Sohbet Süzgeci
CHAT_FILTER_DICE	Zar
CLOSE	Kapat
COMB_APPEARANCE	Kostüm 1
COMB_ATTRIBUTE	Kostüm 2
COMB_SKILLBOOK_TILE	Kitap takas et
COMB_TITLE	
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Ýsim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	INT
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
CURRENT_POINT	Mevcut Puan: %s
DO_REFINE	Arýndýr
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
ENTER_BATTLE_FIELD	Katýl
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
EXIT_BATTLE_FIELD	Savaþ Bölgesi'ni terk etmek istediðine emin misin?
EXIT_BATTLE_FIELD_ON_DEAD	Savaþ Bölgesi'nden %d puan ile ayrýlmak istiyor musun?
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_GUILD_WAR_JOIN	Lonca savaþýna katýl
GAME_HELP	Yardým
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GUILDWINDOW_BASE_BUFF	Lonca bonusu
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca deposu geçmiþi
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo s.:
GUILD_BANK_NUMBER	Banka no.
GUILD_BASEINFO_BANK	Lonca deposu
GUILD_BASEINFO_BANKLASTOUT	Son eþya alýmý
GUILD_BASEINFO_BUILDING	Lonca binasý
GUILD_BASEINFO_DEAL	Lonca bölgesini sat
GUILD_BASEINFO_FACTORY	Lonca demircisi
GUILD_BASEINFO_GOLDMANAGE	Ýþlem
GUILD_BASEINFO_GUILDLAND	Lonca bölgesi
GUILD_BASEINFO_LANDABANDON	Lonca bölgesini daðýt
GUILD_BASEINFO_LANDSCAPE	Diðer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Hesap bakiyesi
GUILD_BASEINFO_MONEYBANKINFO	Lonca bankasý bilgisi
GUILD_BASEINFO_MONEYIN	Yatýr
GUILD_BASEINFO_MONEYLASTOUT	Son para çekme
GUILD_BASEINFO_MONEYOUT	Öde
GUILD_BASEINFO_POWER	Güç Sunaðý
GUILD_BASEINFO_SMEITER	Lonca simyacýsý
GUILD_BASEINFO_TITLE	Bölge bilgileri
GUILD_BASEINFO_VOTE	Anket
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Ýsim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_CHANGE_DELETE	Sil
GUILD_BUILDING_CHANGE_FIX	Lonca deðiþikliði
GUILD_BUILDING_CHANGE_LIST	Lonca nesneleri listesi
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_FIX	Deðiþtir
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DRAGONLAIR_RANKING	En Ýyiler Listesi
GUILD_DRAGONLAIR_RANKING_COUNT	Sýra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üyeler
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_BANK	Lonca bankasý ve lonca deposunu kullanabilir
GUILD_GRADE_PERMISSION_DELETE	Loncadan çýkar
GUILD_GRADE_PERMISSION_JOIN	Loncaya oyuncular alabilir
GUILD_GRADE_PERMISSION_NOTICE	Lonca notlarýný asabilir
GUILD_GRADE_PERMISSION_SKILL	Lonca becerileri
GUILD_GRADE_PERMISSION_WAR	Savaþçý olarak katýlan üyeleri seçebilir.
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_LANDDEAL_VOTE	Lonca bölgesini sat
GUILD_LANDDEAL_VOTE_DEALGOLD	Yang Fiyatý:
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Lonca adý:
GUILD_MARK	Lonca Ýmzasý
GUILD_MASTER_CHANGE_TITLEBAR	Lonca liderliðini býrak
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Savaþçý
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Ýsim
GUILD_MEMBER_OUT_TITLEBAR	Üyeyi çýkar
GUILD_MEMBER_RANK	Sýra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_MEMBER_VOTE_CHECK	Anketleri denetle
GUILD_METIN_STONE	Zihin Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILLPAGE_LADDER	Sýralama Puanlarý
GUILD_SKILLPAGE_RANK	Rütbe
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýlaný Kabulü
GUILD_WAR_ALLSCORE	Tüm Savaþlar
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlaný
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_GAINSCORE	Puanlar
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Savaþ süresi
GUILD_WAR_GAMETIME_SIXTY	60 dak.
GUILD_WAR_GAMETIME_TEN	10 dak.
GUILD_WAR_GAMETIME_THIRTY	30 dak.
GUILD_WAR_JOINMEMBER	Üyeler
GUILD_WAR_JOINMEMBER_COUNT	Üyeler
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Alan
GUILD_WAR_REPORT	Savaþ listesi
GUILD_WAR_REPORTLIST	Übersicht (Savaþlar: S, Galibiyet: G, Maðlubiyet: M, Berabere: B)
GUILD_WAR_SCORE	Savaþ listesi
GUILD_WAR_SKILL	Lonca becerileri
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaþý
GUILD_WAR_TYPE_DIE	Arena Savaþý
GUILD_WAR_TYPE_FLAG	Bayrak Savaþý
GUILD_WAR_TYPE_NORMAL	Meydan Savaþý
GUILD_WAR_TYPE_TIGER	Ýmha Savaþý
GUILD_WAR_TYPE_TIME	Zaman Saldýrýsý
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Turlar
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK	Tek seferli saldýrýyý fareyi kullanarak etkinleþtir.
HELP_ATTACK_KEY	Saldýr: sol fare tuþu veya boþluk tuþu ile
HELP_AUTO_ATTACK	Otomatik saldýrýyý fare kullanarak etkinleþtirir.
HELP_CAMERA	Kamera Yönetimi
HELP_CHANGE_PK_MODE	Saldýrý modunu deðiþtir: sol fare tuþu ayarýný deðiþtir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaþ Listesi ve Seçenekler)
HELP_CHAT	Ýlgili grupla sohbet etmek için metninin önüne þunlardan birini yaz: !(Rufchat), #(Gruppenchat) veya %(Gildenchat).
HELP_CLICK_OTHER_PLAYER	Baþka bir oyuncuya saðla týklayarak ticaret yapabilirsin, gruplar kurabilirsin ve onu düelloya davet edebilirsin.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü ayarlama: orta fare tuþu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü ayarýný deðiþtir: sað veya sol fare tuþu ile
HELP_EMOTINO	Tuþ kombinasyonlarý <Ctrl> + <1~9> ile duygu simgeleri gösterebilirsin.
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuþlarý ile
HELP_HELP	Yardým göster: H ile
HELP_HELP_KEY	Yardým bölümü standart ayarlarý gösterir.
HELP_HP	Hayat Puaný (HP)
HELP_KEYSETTING	Oyun seçeneklerinde kendi tuþ kombinasyonlarýný oluþturabilirsin.
HELP_MESSENGER_WINDOW	Arakadaþ Listesini aç: Alt + M tuþlarý  ile
HELP_MINIMAP	Küçük haritayý gösterir.
HELP_MINIMAP_QUEST	Küçük ve genel görünüm haritasýnda görevler yanýp sönerek görüntülenir.
HELP_MOUSE_LEFT	Sol mouse tuþunun iþlevi
HELP_MOUSE_RIGHT	Sað mouse tuþunun iþlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuþlarý ve ok tuþlarý ile
HELP_OFF_QUESTSCROLL	-<CTRL> + Q ile görev dizilerini açýp kapatabilirsin.
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuþu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriþ tuþu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuþu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuþu ile
HELP_OPEN_MINIMAP	Küçük Haritayý aç: Shift + M tuþlarý ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuþu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuþu ile
HELP_OPEN_WHISPER	Fýsýltý Penceresini aç: üst karakter + giriþ tuþu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritasý'ný aç: M tuþu ile
HELP_PICK_ITEM	Nesneleri topla: ", Z veya sol fare tuþu ile
HELP_QUICKSLOT	Hýzlý Eriþim Alanlarý
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdýr veya Print tuþu ile ("Metin2\screenshot" dosyasý altýnda kaydedilecek)
HELP_SERVER	Sana sunucu ve kanalý gösterir.
HELP_SHOW_ALL_NAME	Ýsimleri göster: Alt tuþu ile
HELP_SKILL	Burada bir beceriyi sað fare tuþuyla kullanabilirsin.
HELP_SP	Zihin Puaný (SP)
HELP_SYSTEM_BUTTON	Sistem Tuþlarý
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
KEYCHANGE_ACTION_WINDOW	Eylemler
KEYCHANGE_ATTACK	Saldýr
KEYCHANGE_AUTORUN	Otomatik yürü
KEYCHANGE_AUTO_WINDOW	Otomatik Av
KEYCHANGE_BASEACTION	Temel Ayarlar
KEYCHANGE_CAM_DOWN1	Kamera (aþaðý)
KEYCHANGE_CAM_DOWN2	Kamera (aþaðý)
KEYCHANGE_CAM_LEFT1	Kamera (sol)
KEYCHANGE_CAM_LEFT2	Kamera (sol)
KEYCHANGE_CAM_RIGHT1	Kamera (sað)
KEYCHANGE_CAM_RIGHT2	Kamera (sað)
KEYCHANGE_CAM_UP1	Kamera (yukarý)
KEYCHANGE_CAM_UP2	Kamera (yukarý)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (büyüteç -)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (büyüteç -)
KEYCHANGE_CANCLE	Ýptal
KEYCHANGE_CHAT_WINDOW	Sohbet Protokolü
KEYCHANGE_CLEAR	Standart
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Geri
KEYCHANGE_DOWN2	Geri
KEYCHANGE_EMOTION1	Duygu (üzgün)
KEYCHANGE_EMOTION2	Duygu (Yang)
KEYCHANGE_EMOTION3	Duygu (müzik)
KEYCHANGE_EMOTION4	Duygu (kalp)
KEYCHANGE_EMOTION5	Duygu (kalp)
KEYCHANGE_EMOTION6	Duygu (bomba)
KEYCHANGE_EMOTION7	Duygu (fikir)
KEYCHANGE_EMOTION8	Duygu (fýrtýna)
KEYCHANGE_EMOTION9	Duygu (özür)
KEYCHANGE_GUILD_WINDOW	Lonca
KEYCHANGE_HELP_WINDOW	Yardým
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] burada kullanýlamaz!
KEYCHANGE_INTERFACE	Pencere
KEYCHANGE_INVENTORY_WINDOW	Envanter
KEYCHANGE_KEY_SETTING	Klavye Ayarlarý
KEYCHANGE_LEFT1	Sol
KEYCHANGE_LEFT2	Sol
KEYCHANGE_MESSENGER_WINDOW	Arkadaþlar
KEYCHANGE_MINIMAP_MINER	Mini Harita (-)
KEYCHANGE_MINIMAP_PLUS	Mini Harita (+)
KEYCHANGE_MINIMAP_WINDOW	Genel Görünüm Haritasý
KEYCHANGE_MONSTER_CARD_WINDOW	Canavar Kartý
KEYCHANGE_NEXT_TARGET	Sonraki hedef
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Görev göstergesi
KEYCHANGE_QUEST_WINDOW	Görevler
KEYCHANGE_QUICKSLOT1	1. kat
KEYCHANGE_QUICKSLOT2	2. kat
KEYCHANGE_QUICKSLOT3	3. kat
KEYCHANGE_QUICKSLOT4	4. kat
KEYCHANGE_RIDE	Biniþ
KEYCHANGE_RIDE_BYE	Atý gönder
KEYCHANGE_RIDE_HORSE	Biniþ
KEYCHANGE_RIDE_PEED	Atý yemle
KEYCHANGE_RIGHT1	Sað
KEYCHANGE_RIGHT2	Sað
KEYCHANGE_ROOT1	Kaldýr
KEYCHANGE_ROOT2	Kaldýr
KEYCHANGE_SAVE	Kaydet
KEYCHANGE_SCREENSHOT	Þipþak
KEYCHANGE_SHOW_NAME	Ýsmi göster
KEYCHANGE_SKILL_WINDOW	Beceriler
KEYCHANGE_SLOT1	Boþluk 1
KEYCHANGE_SLOT2	Boþluk 2
KEYCHANGE_SLOT3	Boþluk 3
KEYCHANGE_SLOT4	Boþluk 4
KEYCHANGE_SLOT5	Boþluk 5
KEYCHANGE_SLOT6	Boþluk 6
KEYCHANGE_SLOT7	Boþluk 7
KEYCHANGE_SLOT8	Boþluk 8
KEYCHANGE_SLOT_KET	Hýzlý Eriþim
KEYCHANGE_STATUS_WINDOW	Karakter
KEYCHANGE_UP1	Ýleri
KEYCHANGE_UP2	Ýleri
LOAD_ERROR	Dosya hasar görmüþ. Lütfen yenisini yükleyiniz. Þimdi ESC tuþuna basýnýz .
LOGIN_CONNECT	Baðlan
